1	0.013891
2	0.011021
3	0.004686
4	0.004186
5	0.003980
6	0.003934
7	0.003844
8	0.003687
1	0.014763
2	0.005603
3	0.004681
4	0.004238
5	0.003975
6	0.003918
7	0.003824
8	0.003724
1	0.008448
2	0.005220
3	0.004637
4	0.004216
5	0.003959
6	0.003928
7	0.003813
8	0.003739
1	0.015464
2	0.005274
3	0.004629
4	0.004223
5	0.004012
6	0.003936
7	0.003811
8	0.003709
1	0.015029
2	0.005295
3	0.004636
4	0.004207
5	0.003986
6	0.005393
7	0.003809
8	0.003745
1	0.015108
2	0.005204
3	0.004642
4	0.004213
5	0.004002
6	0.003930
7	0.003781
8	0.003691
1	0.015505
2	0.005252
3	0.004637
4	0.004464
5	0.004029
6	0.003916
7	0.003789
8	0.005498
1	0.015140
2	0.005273
3	0.004625
4	0.004206
5	0.004009
6	0.003895
7	0.003794
8	0.003787
1	0.014806
2	0.005227
3	0.004618
4	0.004217
5	0.003999
6	0.003925
7	0.003839
8	0.003741
1	0.015605
2	0.005214
3	0.004667
4	0.004205
5	0.004028
6	0.003922
7	0.003836
8	0.003725
