1	0.021124
2	0.007927
3	0.008217
4	0.007460
5	0.006984
6	0.006766
7	0.006555
8	0.006373
1	0.026443
2	0.014908
3	0.008267
4	0.007467
5	0.006955
6	0.006752
7	0.006566
8	0.007050
1	0.021209
2	0.007937
3	0.008203
4	0.007492
5	0.006979
6	0.006750
7	0.006596
8	0.006394
1	0.020932
2	0.008107
3	0.008245
4	0.007445
5	0.006984
6	0.006776
7	0.006546
8	0.006451
1	0.020640
2	0.007960
3	0.008234
4	0.007526
5	0.006977
6	0.006770
7	0.006589
8	0.006408
1	0.021201
2	0.007924
3	0.008270
4	0.007410
5	0.007018
6	0.006768
7	0.006568
8	0.006427
1	0.020447
2	0.007946
3	0.008837
4	0.007449
5	0.006980
6	0.006745
7	0.006566
8	0.016205
1	0.020597
2	0.007926
3	0.008278
4	0.007414
5	0.007026
6	0.006724
7	0.006541
8	0.006435
1	0.021076
2	0.007975
3	0.008251
4	0.007418
5	0.006983
6	0.006759
7	0.006586
8	0.008729
1	0.020445
2	0.007980
3	0.008260
4	0.007427
5	0.007010
6	0.006780
7	0.006584
8	0.006425
